weight,subsid,ret,soc,age,age_grp,region,sex,tenure,fihhyr2,mastat,dfihhyr,dfihhyrchg,saveamount,huresp,hsval,mg1tot,xpmg,usa,usb,ush,usc,usj,usd,usi,use,usk,usg,us,ustot,xpus,billscc,actbillscc1,actbillscc2,actbillscc3,actbillscc4,actbillscc5,actbillscc6,actbillscc7,actbillscc8,actbillscc9,actbillscc10,actbillscc11,actbill_otherspec,condebt,actdebt1,actdebt2,actdebt3,actdebt4,actdebt5,actdebt7,actdebt6,actdebt8,actdebt9,actdebt_otherspec,changecondebt,hscntcr1,hscrchg,newloan,outloan,deposit,depositsave,timedeposit,nvesttot,savingch,savebcs1,savebcs2,savebcs3,savebcs4,savebcs5,savebcs6,savebcs7,savebcs8,savebcs9,savebcs10,savebcs11,savebcs12,savebcs14,savebcs13,desavebcs1,desavebcs2,desavebcs3,desavebcs4,desavebcs5,desavebcs6,emergency,emerchange,hhincfall,conhhinc,pubsecty,fisc_impact1,fisc_impact2,fisc_impact3,fisc_impact4,fisc_impact5,fisc_impact8,fisc_impact6,fisc_impact7,fisc11_act1,fisc11_act2,fisc11_act3,fisc11_act4,fisc11_act6,fisc11_act5,fisc11_conc1,fisc11_conc2,fisc11_conc3,fisc11_conc4,fisc11_conc5,fisc11_conc8,fisc11_conc6,fisc11_conc7,fisc_likact1,fisc_likact2,fisc_likact3,fisc_likact4,fisc_likact6,fisc_likact5,jbstat,xphsdf,xphpdf
0.981339773,23161014,No,C1,71,65+,Greater London,female,Owned outright,"£25,000-£29,999",marrried or couple,£900-£999,no change,£300-£349,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,refused,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,Not very likely - my household income is very secure,No,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,retired,no,not applicable
0.95994584,21939991,No,C1,54,45 - 54,South East,female,Owned outright,"£11,500-£13,499",never married,<=199,no change,none,yes,,not applicable,not applicable,no,no,yes,yes,no,no,no,no,no,no,yes,"£4,500-£4,999",£200-£219,"keeping up, struggle from time to time",no,no,no,no,no,yes,no,no,no,yes,no,Selling on ebay,Somewhat concerned,yes,yes,no,no,no,yes,no,no,no,S,Decreased,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,<£500,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,don't know,don't know,No,no,no,no,no,no,no,no,yes,no,,,,,,,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,in paid employ,no,somewhat
1.39362399,21405536,No,C1,46,45 - 54,Greater London,female,Other/Don't know/refused,"£30,000-£39,999",marrried or couple,"£1,400-£1,599",up £50-£100,£400-£449,not applicable,not applicable,not applicable,not applicable,no,no,no,yes,no,no,no,no,no,no,yes,"£7,000-£7,499",£100-£119,"keeping up, constant struggle",no,no,no,no,no,no,no,no,no,no,yes,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,yes,not applicable,No,not applicable,No,not applicable,not applicable,"£7,000 - £7,999",don't know,,,,,,,,,,,,,,,,,,,,,No,Stayed the same,don't know,No,no,no,no,no,no,no,no,no,yes,,,,,,,no,no,no,no,no,no,no,yes,,,,,,,,yes,no
0.980181121,20382883,Yes,C2,60,55 - 64,East Midlands,female,Owned outright,"£4,500-£6,499",widowed/divorced/separated,<=199,down >£100,none,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,"keeping up, constant struggle",no,no,no,no,no,yes,no,no,no,no,no,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,not applicable,No,not applicable,not applicable,not applicable,not applicable,None,Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,No,Decreased,Quite likely - my household income could fall sharply,Yes,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,in paid employ,no,not applicable
1.01356297,20236495,No,C1,38,35 - 44,Scotland,female,Owned mortgage,"£17,500-£24,999",marrried or couple,£500-£599,down >£100,£25-£49,yes,"£100,000-£124,999","£50,000-£59,999",£250-£299,no,no,no,yes,no,no,no,no,no,no,yes,"£2,500-£2,999",£50-£59,"keeping up, struggle from time to time",no,no,no,no,no,no,no,no,no,no,yes,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,don't know,don't know,don't know,Yes,Got the loan without difficulty,not applicable,not applicable,not applicable,"£1,000 - £1,999",don't know,,,,,,,,,,,,,,,,,,,,,No,don't know,don't know,don't know,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,,,,,,,in paid employ,no,somewhat
0.992433844,20419353,No,C1,65,65+,South East,male,Owned outright,"£17,500-£24,999",marrried or couple,<=199,down >£100,£50-£99,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,the same,No,not applicable,not applicable,not applicable,not applicable,"£12,500 - £14,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,don't know,don't know,Not very likely - my household income is very secure,No,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,no,no,no,no,yes,no,,,,,,,retired,no,not applicable
0.992433844,20529505,No,A,69,65+,South East,male,Owned outright,"£30,000-£39,999",marrried or couple,£400-£499,no change,£500-£599,yes,,not applicable,not applicable,no,no,no,no,no,no,no,no,no,no,no,not applicable,not applicable,keeping up without much difficulty,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Not at all concerned,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,Stayed the same,no,the same,No,not applicable,not applicable,not applicable,not applicable,"£100,000 - £149,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,Yes,Stayed the same,"Not likely, but there is a small chance of a sharp fall in my household income",No,no,no,no,no,no,no,no,yes,no,,,,,,,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,in paid employ,no,not applicable
0.977074914,23377424,Yes,B,53,45 - 54,West Midlands,female,Owned mortgage,"£30,000-£39,999",marrried or couple,<=199,down >£100,£50-£99,yes,"£200,000-£224,999","£80,000-£89,999",£850-£899,no,yes,yes,yes,yes,no,yes,no,no,no,yes,refused,don't know,"keeping up, constant struggle",no,no,no,no,no,yes,yes,no,no,no,no,,Somewhat concerned,yes,no,no,no,no,no,no,no,no,,Increased,yes,don't know,No,not applicable,not applicable,not applicable,not applicable,£500-£999,Decrease by £50-£99 a month,,,,,,,,,,,,,,,no,yes,no,no,no,no,No,don't know,"Not likely, but there is a small chance of a sharp fall in my household income",Yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,in paid employ,no,heavy
0.966507895,21626158,No,C1,21,18 - 24,South West,female,Private rented,don't know,never married,don't know,don't know,don't know,not applicable,not applicable,not applicable,not applicable,no,no,no,yes,no,no,yes,no,no,no,yes,<£200,<£10,"keeping up, constant struggle",no,no,no,no,no,no,no,no,no,no,yes,,don't know,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,,don't know,don't know,don't know,don't know,not applicable,don't know,not applicable,not applicable,None,don't know,,,,,,,,,,,,,,,,,,,,,don't know,don't know,don't know,don't know,don't know,no,no,no,no,no,no,no,yes,,,,,,,no,no,no,no,no,no,no,yes,,,,,,,FT student,don't know,somewhat
0.97301085,21006084,No,C2,57,55 - 64,South East,female,Owned mortgage,"£30,000-£39,999",marrried or couple,"£1,000-£1,199",down >£100,£100-£149,yes,"£350,000-£399,999","£300,000-£399,999","£1,000-£1,249",no,no,no,yes,no,no,no,no,no,no,yes,£200-£499,£200-£219,"keeping up, struggle from time to time",no,no,no,no,no,yes,yes,no,no,no,no,,Somewhat concerned,no,yes,yes,no,no,no,no,no,no,,Stayed the same,yes,harder,Yes,Refused the loan or unable to borrow as much as wanted,not applicable,not applicable,not applicable,"£1,000 - £1,999",Don’t plan to change my monthly savings,,,,,,,,,,,,,,,,,,,,,don't know,Stayed the same,don't know,Yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,no,no,don't know,don't know,don't know,don't know,don't know,don't know,retired,no,no
